videoid,fan_rate
-uqG6akWYF0,0.0
13nMnl7OSHg,0.0
2-vtC7h7a6c,0.0
4nAGRVw2Tww,0.0
59HWzNERPcE,0.0
78yGUNn3QXs,0.0
7M6Cdd9fiGI,0.0
8GtkZWMKIlM,0.0
8oDA8dYjvPE,0.0
8pEyW1Mapog,0.0
9j71qE8Udlo,0.0
9VLVLYYd6Xk,0.0
AqsbLmiySms,0.0
bbX4M6xsZSU,0.0
CnXde1TUdQM,0.0
cWJbAGWUQ1E,0.0
eKPRl1VmVco,0.0
eN2W_fl-wn0,0.0
eoD29Zrslqs,0.0
eyvaiwwCYwY,0.0
Ff1S-9c97HU,0.0
frKQqsSzbO8,0.0
hrVWv7PqYxM,0.0
k3_YCZQXGwk,0.0
Kj-Kc1RZOag,0.0
lIKETU6q9rA,0.0
LQ57XKoSqhc,0.0
NBG9OOHu-4g,0.0
NyV36_1780c,0.0
ODpoQlqDFyo,0.0
oKkiw9KpgKA,0.0
pJfO1du8gMk,0.0
PSYXaJuxwQE,0.0
q7j5euolIFk,0.0
qGQk8bw5jfw,0.0
qh793oPbW9M,0.0
RTF1zvBveLM,0.0
TDUmCexUCP4,0.0
teUp-ed4l5c,0.0
tnUM4zG7UDk,0.0
tuLlbGXbSmk,0.0
TY-E6T3lcTY,0.0
uB2DtOprM4Y,0.0
vw1IHsQjHzs,0.0
vy-O1RkEDxM,0.0
w-FddZnp8PI,0.0
WTPbIbGIz6E,0.0
x7meIxQWa0M,0.0
XL2-Et3X56o,0.0
ZwEZqAUsTko,0.0
mean,0.0
std,0.0
