videoid,fan_rate
00VD5EgYIEY,0.0
0QSCLrEohyI,0.0
0snF_DM4EIA,0.0
1JT16h7hMdo,0.0
3RXfk8pY8Vo,0.0
3tRiDsUSPYU,0.0
6971bVXcvAs,0.0
6axF-NANxpI,0.0
6v37y9J2Fbc,0.0
7-i1CHuu2cU,0.0
9rqmy8vIS5g,0.0
9VNo3a83dlY,0.0
A87q5twSAdI,0.0
akETRo2uTM8,0.0
boLxswqi18g,0.0
C5yjUwZr7lg,0.0
DlUPkf8ZGCU,0.0
DN4Qpwahck0,0.0
DnzOSPFly7U,0.0
DPhodxKYOfw,0.0
fGL1zfOcze4,0.0
FtH0ihxjmYM,0.0
gUZtTDP1Dm8,0.0
hv_aCAThH_0,0.0
iATOOKw6wIo,0.0
Jt798Bw0rhE,0.0
kvuC18WmTKQ,0.0
LUOkoKqmiVE,0.0
MMYXHig5sAU,0.0
NG8XCoo7YVY,0.0
NlVChdZ55e0,0.0
nOLdaAYtdgs,0.0
O6_e2IEvPls,0.0
p7PCARcGvNM,0.0
QmwFjQQWlEY,0.0
rqUp0bfYgUY,0.0
RwWNpVE_gOY,0.0
T26E7xmKYLE,0.0
tdGHcMx8YH4,0.0
TGT71mseb6k,0.0
tP9s2fgDzto,0.0
tPqZ_2iZBOc,0.0
ua8jJ478_h0,0.0
vG0tIXVwviM,0.0
W2pMDXGALp0,0.0
xCw4XKi3mic,0.0
XsSNOMkWW5E,0.0
yAObeqWiRfo,0.0
YFgAsFz57S8,0.0
yPBnwzDXpuM,0.0
mean,0.0
std,0.0
