videoid,fan_rate
-5IcDJOu82o,0.16666666666666666
0fu3miLMSrE,0.5
1ETPusAl6VY,0.5
4MO3cA6dQ44,0.5
4_eDFJvBk5w,0.2
6QbSLzmqcsk,0.25
7s_riTPaA8k,0.16666666666666666
8hOVs6B7rBg,0.2
Ax2Hmib3N7M,0.16666666666666666
byDuwEmlShE,0.5
CXfpKw9GZYI,0.5
dl8G2U7pNIw,0.25
e76MN705nV4,1.0
EEZW3gYrBtY,0.5
FUsxdRDUKEU,0.5
gSwvgMvLlDo,1.0
HoSBzliLVnc,0.3333333333333333
i2TpnFgDjWQ,0.3333333333333333
IBLNGoISnkE,0.25
iITfxiWiVXA,1.0
JG8eO9Nh9h4,0.3333333333333333
konoR0WdH_o,1.0
kY9ZDlJL4HY,0.16666666666666666
ldMx0ZtODFE,0.3333333333333333
LFrhmR_0GWI,0.16666666666666666
LpJiQ8ChQlE,0.07692307692307693
NDJa250HtvI,0.16666666666666666
OvqLSLiRRWk,0.2
PoRcwUrzpE8,0.25
QEr5NrlIGTM,0.3333333333333333
qFlcXk4_nXU,0.14285714285714285
qVISTsG_qEk,0.25
qWf8cO66Wx0,1.0
Ril-FQJAUec,0.2
ruHBMtiSwNI,0.3333333333333333
s1vm_GwMWk0,0.2
S35mRsMSC_k,0.2
tULzhBsgPwQ,0.2
ueMH0WZrRNw,0.16666666666666666
UtpnTXaCr7c,0.3333333333333333
u_UixpKzi-U,0.3333333333333333
xEvylQDL-xI,0.16666666666666666
XJCluTh61Po,0.3333333333333333
xqZQpZfDeEE,0.125
YF7r9YJhmUY,0.14285714285714285
YrplDRKZsDY,0.2
Ywr4u_AxoWo,0.5
Z4ZGhcyPxFU,0.3333333333333333
_7PaqUUnjUQ,0.5
_Kawpx16fGM,0.16666666666666666
mean,0.35341941391941395
std,0.24992674398743714
