videoid,fan_rate
-P4lCR83v0s,0.03225806451612903
0w32dSHwSgU,0.0125
1HOAPmsZ3hs,0.045454545454545456
2Ohw5K2kWv4,0.0
2PeUuJ0_gWY,0.0
2wShM86neac,0.008438818565400843
4JcqE9P5z-0,0.041666666666666664
4vkn4V6KwLc,0.0
744SXwS534U,0.0056022408963585435
9EhXIZeQpAg,0.0
akiqLzfL8SU,0.014084507042253521
BF_uUqLJntQ,0.015151515151515152
c-ZKg0q-3v4,0.0
C6KumLgMO4g,0.03571428571428571
CRPnB_eHzbE,0.017857142857142856
CZckj4JqqGg,0.0
DaCzc-xOioQ,0.07692307692307693
DOvGDJpvGmk,0.0
Epblv0xX9G4,0.01020408163265306
EX6JSd_WgBY,0.0
faK59mmWzXI,0.0
FQ5gleetGtQ,0.0
Fx5X2Y64hBs,0.0
G-6Hbgin0GM,0.07142857142857142
GnORzChQbls,0.009302325581395349
HBlpkW2vUYI,0.0
K7Mf9fg8-7U,0.016
kyju72Is65Q,0.006825938566552901
Lr8QtkrCvaw,0.02631578947368421
nzTT0GS45IM,0.011904761904761904
oRzkxbrxDnA,0.0
plYums_DHsc,0.011428571428571429
qPqxcRDPlUk,0.0
Q_dfJxrX75I,0.045454545454545456
q_n_fv3Tn0A,0.0
rR6PI3PMy9Q,0.0
SS_wkh4FXpI,0.03125
Td800ZLnC98,0.037037037037037035
ToSpkLwoTpM,0.01652892561983471
U6pVNoNW87w,0.0
Vnj9nwDNKHQ,0.0
W7RfhkQqh5c,0.0
wLjz4BDNA6c,0.01639344262295082
WyDU4w8NCPg,0.013888888888888888
XgeJ705wMRg,0.05555555555555555
YpewsRyYaJI,0.0
Z0BIs6Vk-eo,0.0
z1Qyn1HKUS0,0.0
_LH-2NcE2eU,0.023809523809523808
_s76HH2SAVM,0.01694915254237288
mean,0.014518559506685482
std,0.019246905437890413
