videoid,fan_rate
0k37yHCVNa0,0.0
0vWqY2vftWI,0.0
16MC6LQo8vg,0.0
3fTHOovRzEk,0.0
3_KwJd7NgXM,0.0
5kihHsdkNVc,0.0
5nL_6OaxYkU,0.0
A1zz6k0FxdE,0.0
a2waVgxjSAQ,0.0
BE1EZS1FREw,0.0
C252CuwszVo,0.0
ChdjXBHD2m0,0.0
CXjVsiBdEYM,0.0
dKdrxcLUp90,0.0
EiHkzQAX994,0.0
eVeOC--y_Bs,0.0
fhOs85Hm0E4,0.0
FMdEgyavp5k,0.0
Gr0NdBQAivc,0.0
gv9bZaE28iA,0.0
iqpl4WEHALw,0.0
j2ZCiN2_xjw,0.0
J6sTx3-zwDg,0.0
jiHliS0rhi4,0.0
JxvDX9bWurc,0.0
kEHWlD9YLwU,0.0
KfUQstPFBWs,0.0
lf7eKnfCNuw,0.0
MJK6RHLrRoE,0.0
MzQZlLNDFso,0.0
N9BCsBY7xO0,0.0
NQ2S4ibqzww,0.0
nyBAe6IQQAk,0.0
PEwgW5ARPnw,0.0
puE2wrDpsXs,0.0
PwzQq5N9mJE,0.0
QSBft1pxnKU,0.0
R37wn7G5JNA,0.0
rIpcg9ARr6k,0.0
snHcIbVJv3A,0.0
tblrdB0dmuk,0.0
THoLoXA9fdQ,0.0
TM0iCctiYRE,0.0
twuatWngO8g,0.0
W6q87AcQA4Q,0.0
WVFI_9vZ5Ls,0.0
xcn82obE0Qs,0.0
XCXwXa5t-8M,0.0
xeQ_F4cJtSg,0.0
_BL8wfwfP68,0.0
mean,0.0
std,0.0
