videoid,fan_rate
-rsTgnpjQCY,0.0
2pFsF5nYqvg,0.0
3gdWjx7d13k,0.0
5OtZOX77rCg,0.0
8fTuJop-sqQ,0.0
9TFiXJ39Azk,0.0
a02qkZBF8fA,0.0
agEHMUm_mns,0.0
AS1HBvWNYv0,0.0
bqM9DO5T8iQ,0.0
c3kE4f1f6xU,0.0
cZeLjrUwk68,0.0
DQiOxdp6aZY,0.0
DZDsrh-inWY,0.0
E1lyKQNxa-Q,0.0
f242Va6RLAE,0.0
fuClVcdx9KQ,0.0
fUwXcmP3YDg,0.0
G0F8IVQJv-Y,0.0
gjfBV-a1W_U,0.0
I1znxcL2APE,0.0
IHW0M31fWf4,0.0
j5a04QAo2h0,0.0
jPOK3kWtch0,0.0
k6jGM5oF7S4,0.0
KZ6RLrVttIo,0.0
LfmcuJXius0,0.0
Lw8Ay-u3Tgw,0.0
M0kIJR2kzvM,0.0
mNV9ZU_YunA,0.0
ojHKg8t_nu4,0.0
olS4OEviBLA,0.0
oOZ3fmiPCKE,0.0
oO_qhfmYtYE,0.0
Q7FrwdKjtoY,0.0
qf1W8ZRRh_0,0.0
QsAlo25zb1k,0.0
RknBEWynoqk,0.0
sel_PWfJkjg,0.0
SOTqAfT9WGQ,0.0
V23NtG9RJxM,0.0
VmSFlMmMczQ,0.0
WzlyHISwvXU,0.0
x7lIX9weM4c,0.0
XBaOX_Pwf30,0.0
XDVzKa1IeZk,0.0
ysLuEaHSwfc,0.0
ZKFXFRg2qiE,0.0
ZXuD-JtZhSI,0.0
__SRjriUvDc,0.0
mean,0.0
std,0.0
