videoid,fan_rate
-EJqJJvoN6g,0.19230769230769232
-UB9LCGPF_Y,0.1272264631043257
2dpih_UJej8,0.050505050505050504
4aEefEEgVEg,0.08904109589041095
4Ax0dqLEM5w,0.08666666666666667
6tcsS_axfh0,0.10763209393346379
7EsTcaInN64,0.0476878612716763
8M7_QO6Fdqw,0.11764705882352941
8oj8A9FSY_0,0.09476309226932668
8uV-ZIHAnpU,0.11139896373056994
A5HW3EyPpC4,0.12550607287449392
aH40W-QuDDU,0.08355795148247978
BxzqCr69Nwc,0.083710407239819
CHS4VbUL3eA,0.08041237113402062
ckwoX6AvUoo,0.11873350923482849
dItHOSJ4fL4,0.09043927648578812
F5fkMyTaRhE,0.12672176308539945
FDcVXYhXsqM,0.15673981191222572
fMsAOcTIh78,0.0894854586129754
fNDAgVOR5VA,0.08148148148148149
fYL3bUBvcSs,0.09021406727828746
hJXWWiT2Wrc,0.051829268292682924
hm7fYDU1Afs,0.07142857142857142
ijHzl_oZoZ0,0.1465798045602606
jO7tuZ0kKnw,0.09473684210526316
kdkPFvzIvRg,0.07142857142857142
lfEmUXCpX1Q,0.16831683168316833
mBPnaPztOeU,0.12631578947368421
mHd1TCIkidQ,0.11372549019607843
Mnsv1qQmtVc,0.09395973154362416
mT96xTAMS_0,0.15827338129496402
MVHIm6AuRGI,0.010948227871590277
n3hTWaLVUi0,0.12043795620437957
nB6_TFjFBPk,0.16666666666666666
nHYGXfG1JoE,0.12927756653992395
NQsr1dtoNmQ,0.16205533596837945
NYtDY9lhzzM,0.03622577927548441
O4VmyNn4r6g,0.13395638629283488
pxEa-lKTPrs,0.09742895805142084
QeAanYUv1NQ,0.12796208530805686
ss2AbeH_n48,0.14347826086956522
ST6RDnM_ARc,0.08478802992518704
Tpf0L9gJZEY,0.14444444444444443
U5Hy-PhCi5I,0.13963963963963963
uESo7qFuEdE,0.14873417721518986
u_HgNWhf7GI,0.08875739644970414
v2gMlpX2_K4,0.11614730878186968
wyPBHePhRvc,0.12359550561797752
Y87PsHBmigQ,0.116751269035533
Ygkd6uZO290,0.11145510835913312
mean,0.10902445187696724
std,0.0366269583784717
